ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IN,941.0,1563.0,1606.0,2461.0,3813.0,4433.9,6315.0,7844.52,10242.5,10925.0,13184.0,16179.0,17299.7,18420.4,22465.3,25088.19,28700.44,32848.46,35288.1,37505.18,38558.6,40067.27,41929.78
ID,,,,,,,,0.1,0.26,1.06,0.34,0.93,0.93,0.63,1.12,1.46,1.46,1.46,143.03,153.83,153.83,153.83,153.83
IR,11.0,11.0,12.0,16.0,24.9,37.0,47.0,63.0,63.0,92.0,95.0,98.21,106.13,107.63,148.78,153.44,190.94,259.0,282.0,304.92,308.08,310.2,342.0
IQ,,,,,,,,,,,,,,,,,,,,,,,
IE,116.5,122.9,134.8,210.3,311.2,468.1,651.3,715.3,917.1,1226.1,1365.2,1559.4,1679.15,1898.1,2258.05,2425.95,2776.45,3293.95,3648.65,4101.25,4281.5,4313.84,4593.84
IL,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,27.25,27.25,27.25,27.25,27.25,27.25,27.25
IT,363.0,664.0,780.0,874.0,1127.0,1635.0,1902.0,2702.0,3525.0,4879.0,5794.0,6918.0,8102.0,8542.0,8683.0,9137.0,9384.0,9736.58,10230.25,10679.46,10870.62,11253.73,11749.73
JM,,,,,20.7,20.7,20.7,20.7,20.7,20.7,38.9,38.9,38.9,38.9,38.9,38.9,102.0,102.0,102.0,102.0,102.0,102.0,102.0
JP,84.0,175.0,277.0,506.8,767.8,1225.8,1803.8,1515.8,1744.8,1985.8,2268.8,2393.8,2536.7,2596.3,2703.3,2749.0,3140.0,3418.0,3433.0,3886.0,4061.0,4210.0,4320.0
JO,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,118.4,198.4,198.4,280.4,373.0,518.0,621.5,614.0
KZ,,,,,,,,,,,,,1.5,4.0,52.81,71.76,98.16,112.4,121.45,283.8,486.3,683.95,1107.75
KE,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.1,5.1,5.1,5.1,5.3,25.5,25.5,25.5,335.5,335.5,335.5,435.5,435.5
KI,,,,,,,,,,,,,,,,,,,,,,,
XK,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.75,33.75,33.75,33.75,138.75,138.75
KW,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0
KG,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,,,,,,,,,,,,,
LV,2.0,2.0,22.0,26.0,26.0,26.0,26.0,26.0,28.0,29.0,30.0,36.0,59.0,65.89,68.92,68.17,69.91,77.11,78.17,78.07,78.07,77.13,136.13
LB,,,,,,,,,,,,,,,,,,,,,,,
LS,,,,,,,,,,,,,,,,,,,,,,,
LR,,,,,,,,,,,,,,,,,,,,,,,
LY,,,,,,,,,,,,,,,,,,,,,,,
LT,,,,,1.0,1.0,31.0,47.0,54.0,98.0,133.0,202.0,275.0,279.0,288.0,436.0,509.0,518.0,533.0,534.0,540.0,671.0,814.0
LU,14.0,13.9,13.9,20.5,34.9,34.9,34.9,34.9,42.92,42.93,43.73,44.53,58.33,58.33,58.34,63.79,119.69,119.69,122.89,135.79,152.74,136.44,165.44
MG,,,,,,,,,,,,,,,,,,,,,,,
MW,,,,,,,,,,,,,,,,,,,,,,,
MY,,,,,,,,,,,,,,,,,,,,,,,
MV,,,,,,,,,,,,,,,,,,,,,,,
ML,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MH,,,,,,,,,,,,,,,,,,,,,,,
MQ,,,,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,13.0,15.1,14.0,14.0
