ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GB,4.0,4.0,4.0,64.0,124.0,214.0,304.0,394.0,596.2,951.0,1341.0,1838.0,2995.0,3696.0,4501.0,5093.0,5293.0,6988.0,8181.0,9888.0,10383.0,11255.0,13928.0
TZ,,,,,,,,,,,,,,,,,,,,,,,
VI,,,,,,,,,,,,,,,,,,,,,,,
US,,,,,,,,,,,,,,,0.02,0.02,29.3,29.3,29.3,29.3,29.3,41.3,41.3
UY,,,,,,,,,,,,,,,,,,,,,,,
UZ,,,,,,,,,,,,,,,,,,,,,,,
VU,,,,,,,,,,,,,,,,,,,,,,,
VE,,,,,,,,,,,,,,,,,,,,,,,
VN,,,,,,,,,,,,,,16.0,16.0,99.0,99.2,99.2,99.2,99.2,99.2,994.0,1094.0
YE,,,,,,,,,,,,,,,,,,,,,,,
ZM,,,,,,,,,,,,,,,,,,,,,,,
ZW,,,,,,,,,,,,,,,,,,,,,,,
