ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
FJ,,,,,,,,,,,,,0.36,0.36,0.69,1.42,1.42,3.16,3.32,3.33,3.58,3.58,3.73
FI,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,11.0,17.0,39.0,82.0,140.0,222.0,318.0,425.0,590.6
FR,7.0,7.0,8.0,9.0,11.0,13.0,15.0,26.0,80.0,277.0,1044.0,3003.57,4358.75,5277.29,6034.42,7137.52,7702.08,8610.44,9638.88,10738.39,11812.2,14436.97,17036.97
GF,,,,,,,,,0.41,2.37,23.02,35.73,36.19,36.44,36.55,46.34,46.34,46.4,46.51,46.54,54.78,54.78,54.78
PF,,,,,0.06,0.19,0.38,0.53,0.75,0.97,1.5,9.5,12.0,15.3,21.9,25.0,28.6,31.9,34.2,37.7,41.31,42.38,42.38
GA,,,,,,,,,,,,,,,,,,,,,,,
GM,,,,,,,,,,,,,,0.03,0.11,0.17,0.18,0.18,0.18,0.68,0.68,0.68,0.68
GE,,,,,,,,,,,,,,,,,0.14,0.28,0.75,2.14,4.07,17.71,22.71
DE,114.0,195.0,260.0,435.0,1105.0,2056.0,2899.0,4170.0,6120.0,10564.0,18004.0,25914.0,34075.0,36708.0,37898.0,39222.0,40677.0,42291.0,45156.0,48912.0,53669.0,59371.0,66662.0
GH,,,,,,,,,,,,,,3.0,3.44,24.84,27.46,31.73,58.37,64.8,87.77,90.6,90.6
GR,,1.0,1.0,1.0,1.0,1.0,5.0,9.0,12.0,46.0,202.0,612.0,1536.0,2579.0,2596.0,2604.0,2604.0,2605.53,2651.57,2833.79,3287.72,4277.42,5557.42
GL,,,,,,,,,,,,,,,,,,,,,,,
GD,,,,,,,,,0.07,0.11,0.18,0.27,0.31,0.52,0.7,1.02,2.19,2.28,2.66,3.27,3.6,3.65,3.65
GP,,,,,,0.36,1.23,2.48,3.69,10.9,22.4,28.5,64.0,66.6,66.6,67.14,68.04,70.62,72.7,83.8,88.6,89.87,89.87
GU,,,,,,,,,,0.05,0.09,0.14,0.32,0.81,1.44,31.95,34.65,36.3,38.08,39.73,41.38,43.03,104.68
GT,,,,,,,,,,,,,,,5.0,85.0,85.0,92.5,92.5,92.5,93.0,93.0,96.5
GN,,,,,,,,,,,,,0.02,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.08
GW,,,,,,,,,,,,,,,,,,,,,,,
GY,,,,,,,,,,,,0.4,0.79,0.85,0.9,2.69,2.75,3.97,4.63,6.55,6.55,6.55,6.55
