,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
6134,transf_1188_1,1805,1806,115000,230000,PH,"LINESTRING (120.4605 17.3651, 120.4615 17.3661)","MULTIPOINT ((120.4605 17.3651), (120.4615 17.3661))",POINT (120.4605 17.3651),POINT (120.4615 17.3661),120.4605,17.3651,120.4615,17.3661
6135,transf_1189_0,1807,1808,69000,115000,PH,"LINESTRING (120.3918 17.5948, 120.3928 17.5958)","MULTIPOINT ((120.3918 17.5948), (120.3928 17.5958))",POINT (120.3918 17.5948),POINT (120.3928 17.5958),120.3918,17.5948,120.3928,17.5958
6136,transf_1190_0,1809,1810,69000,230000,PH,"LINESTRING (121.8207 17.0497, 121.8217 17.0507)","MULTIPOINT ((121.8207 17.0497), (121.8217 17.0507))",POINT (121.8207 17.0497),POINT (121.8217 17.0507),121.8207,17.0497,121.8217,17.0507
6137,transf_1192_0,1812,1813,69000,115000,PH,"LINESTRING (120.5992 18.2106, 120.6002 18.2116)","MULTIPOINT ((120.5992 18.2106), (120.6002 18.2116))",POINT (120.5992 18.2106),POINT (120.6002 18.2116),120.5992,18.2106,120.6002,18.2116
6138,transf_1192_1,1813,1814,115000,230000,PH,"LINESTRING (120.6002 18.2116, 120.6012 18.2126)","MULTIPOINT ((120.6002 18.2116), (120.6012 18.2126))",POINT (120.6002 18.2116),POINT (120.6012 18.2126),120.6002,18.2116,120.6012,18.2126
6139,transf_1192_2,1814,1815,230000,500000,PH,"LINESTRING (120.6012 18.2126, 120.6022 18.2136)","MULTIPOINT ((120.6012 18.2126), (120.6022 18.2136))",POINT (120.6012 18.2126),POINT (120.6022 18.2136),120.6012,18.2126,120.6022,18.2136
6140,transf_1194_0,1817,1818,69000,230000,PH,"LINESTRING (120.7887 13.9338, 120.7897 13.9348)","MULTIPOINT ((120.7887 13.9338), (120.7897 13.9348))",POINT (120.7887 13.9338),POINT (120.7897 13.9348),120.7887,13.9338,120.7897,13.9348
6141,transf_1195_0,1819,1820,69000,138000,PH,"LINESTRING (125.5142 8.9186, 125.5152 8.9196)","MULTIPOINT ((125.5142 8.9186), (125.5152 8.9196))",POINT (125.5142 8.9186),POINT (125.5152 8.9196),125.5142,8.9186,125.5152,8.9196
6142,transf_1196_0,1821,1822,69000,115000,PH,"LINESTRING (120.6689 18.5298, 120.6699 18.5308)","MULTIPOINT ((120.6689 18.5298), (120.6699 18.5308))",POINT (120.6689 18.5298),POINT (120.6699 18.5308),120.6689,18.5298,120.6699,18.5308
6143,transf_1197_0,1823,1824,69000,138000,PH,"LINESTRING (125.2737 6.7566, 125.2747 6.7576)","MULTIPOINT ((125.2737 6.7566), (125.2747 6.7576))",POINT (125.2737 6.7566),POINT (125.2747 6.7576),125.2737,6.7566,125.2747,6.7576
6144,transf_1197_1,1824,1825,138000,230000,PH,"LINESTRING (125.2747 6.7576, 125.2757 6.7586)","MULTIPOINT ((125.2747 6.7576), (125.2757 6.7586))",POINT (125.2747 6.7576),POINT (125.2757 6.7586),125.2747,6.7576,125.2757,6.7586
6145,transf_1198_0,1826,1827,69000,138000,PH,"LINESTRING (122.2152 7.0804, 122.2162 7.0814)","MULTIPOINT ((122.2152 7.0804), (122.2162 7.0814))",POINT (122.2152 7.0804),POINT (122.2162 7.0814),122.2152,7.0804,122.2162,7.0814
