time,ZM0 0,ZM0 1,ZM0 2,ZM0 3,ZM0 4,ZM0 5,ZM0 6,ZM0 7,ZM0 8,ZM0 9
41276.20833,2.628030198,45.18153331,15.49184923,33.56747545,11.63078627,3.302378113,0.135782384,2.39498736,1.557251943,18.23662661
41276.25,2.902084001,49.89311198,17.10735585,37.06792773,12.84365712,3.646753639,0.149941916,2.644739207,1.719643843,20.13836156
41276.29167,2.969417983,51.05072903,17.50427971,37.92797561,13.1416549,3.731365402,0.15342086,2.70610229,1.759542918,20.60561064
41276.33333,2.975554801,51.15623422,17.54045535,38.00636035,13.16881441,3.739076916,0.153737931,2.71169492,1.763179319,20.64819571
41276.375,2.977488578,51.18948005,17.55185468,38.03106023,13.17737266,3.741506898,0.153837843,2.713457219,1.764325188,20.66161473
41276.41667,2.977488578,51.18948005,17.55185468,38.03106023,13.17737266,3.741506898,0.153837843,2.713457219,1.764325188,20.66161473
41276.45833,2.973843698,51.12681667,17.53036865,37.98450467,13.16124164,3.736926748,0.153649523,2.710135552,1.762165397,20.6363219
41276.5,2.978191592,51.20156638,17.55599884,38.04003973,13.18048397,3.742390303,0.153874166,2.714097892,1.764741763,20.66649314
41276.54167,2.97237489,51.10156468,17.52171025,37.96574379,13.15474118,3.735081047,0.153573634,2.708796992,1.761295048,20.62612944
41276.58333,2.974289703,51.13448446,17.53299778,37.99020143,13.16321551,3.737487197,0.153672567,2.710542007,1.76242968,20.63941685
41276.625,2.971966816,51.09454899,17.51930471,37.9605315,13.15293518,3.734568261,0.15355255,2.708425103,1.761053241,20.6232977
41276.66667,3.129391164,53.80101464,18.44729795,39.97129149,13.84964291,3.93238742,0.161686191,2.851889712,1.854335797,21.71570869
41276.70833,3.123589504,53.70127153,18.41309803,39.89718767,13.8239667,3.925097064,0.161386437,2.84660252,1.850897995,21.67544937
41276.75,3.099815876,53.29255134,18.272956,39.59353031,13.71875253,3.895223164,0.160158125,2.824937038,1.836810817,21.5104776
41276.79167,2.982125852,51.26920483,17.57919072,38.0902915,13.19789569,3.747334087,0.154077437,2.717683278,1.767073027,20.69379405
41276.83333,2.774658057,47.70238391,16.35619876,35.44033333,12.27971234,3.486630422,0.143358203,2.528612868,1.644136987,19.25411778
41276.875,2.48197276,42.6704895,14.63086224,31.70190349,10.98438471,3.118842595,0.128236037,2.261881692,1.470704906,17.22309376
41276.91667,2.2946911,39.45071197,13.52686456,29.30978009,10.15553846,2.88350479,0.118559759,2.091207394,1.359730256,15.92349465
41276.95833,2.109750965,36.27119034,12.43666982,26.94756468,9.337055026,2.651109343,0.109004461,1.922666984,1.250143089,14.64014403
41277,2.053839482,35.30995079,12.1070799,26.23341483,9.089609424,2.580851071,0.106115684,1.8717135,1.21701247,14.25215881
41277.04167,2.065026062,35.50227234,12.17302314,26.37629951,9.139117501,2.594908108,0.10669366,1.8819081,1.223641132,14.32978558
41277.08333,2.103486461,36.16348993,12.3997415,26.867549,9.309330416,2.643237378,0.108680793,1.91695799,1.246431027,14.5966729
41277.125,2.341581449,40.25685866,13.80327623,29.90870419,10.36305952,2.94242712,0.120982442,2.1339397,1.387515358,16.24887971
41277.16667,2.42430734,41.67909597,14.29093312,30.96535085,10.72917676,3.046380329,0.125256639,2.209329802,1.436534983,16.82293749
41277.20833,2.624288204,45.11720033,15.46979073,33.51967946,11.61422546,3.29767593,0.135589046,2.391577191,1.555034607,18.21065988
41277.25,2.890050698,49.68623344,17.03642131,36.91422798,12.79040173,3.631632612,0.149320192,2.633772968,1.712513452,20.05485916
41277.29167,2.970840686,51.07518838,17.51266634,37.9461476,13.14795131,3.733153168,0.153494367,2.707398834,1.760385948,20.61548317
41277.33333,2.974934514,51.14557015,17.53679885,37.99843751,13.16606922,3.738297465,0.153705882,2.711129638,1.762811765,20.64389137
41277.375,2.971786975,51.09145714,17.51824457,37.95823442,13.15213927,3.734342273,0.153543259,2.70826121,1.760946676,20.62204973
41277.41667,2.974133732,51.13180298,17.53207836,37.98820924,13.16252523,3.737291204,0.153664508,2.710399867,1.762337258,20.63833453
41277.45833,2.978191592,51.20156638,17.55599884,38.04003973,13.18048397,3.742390303,0.153874166,2.714097892,1.764741763,20.66649314
41277.5,2.978191592,51.20156638,17.55599884,38.04003973,13.18048397,3.742390303,0.153874166,2.714097892,1.764741763,20.66649314
41277.54167,2.978191592,51.20156638,17.55599884,38.04003973,13.18048397,3.742390303,0.153874166,2.714097892,1.764741763,20.66649314
41277.58333,2.970488852,51.0691396,17.51059233,37.94165368,13.14639421,3.732711054,0.153476188,2.707078199,1.760177467,20.6130417
41277.625,2.971966816,51.09454899,17.51930471,37.9605315,13.15293518,3.734568261,0.15355255,2.708425103,1.761053241,20.6232977
41277.66667,3.141214544,54.00428415,18.51699503,40.12230992,13.90196925,3.947244658,0.162297069,2.862664644,1.861341798,21.79775438
41277.70833,3.131262488,53.83318675,18.45832913,39.99519366,13.85792477,3.934738922,0.161782877,2.853595095,1.855444659,21.72869432
41277.75,3.093125803,53.17753449,18.23351901,39.50807891,13.6891445,3.88681643,0.159812469,2.818840213,1.832846582,21.46405333
41277.79167,2.979585193,51.22552541,17.56421392,38.05784002,13.18665158,3.744141501,0.153946169,2.715367915,1.765567548,20.67616372
41277.83333,2.750820993,47.29257314,16.2156828,35.13586573,12.17421743,3.45667681,0.142126614,2.506889577,1.63001222,19.08870582
41277.875,2.485909636,42.73817292,14.65406954,31.75218867,11.00180801,3.123789666,0.128439444,2.265469462,1.47303772,17.25041283
41277.91667,2.2946911,39.45071197,13.52686456,29.30978009,10.15553846,2.88350479,0.118559759,2.091207394,1.359730256,15.92349465
41277.95833,2.109750965,36.27119034,12.43666982,26.94756468,9.337055026,2.651109343,0.109004461,1.922666984,1.250143089,14.64014403
41278,2.043814672,35.13760259,12.04798513,26.10536929,9.045242956,2.568253913,0.105597732,1.862577649,1.211072221,14.1825939
41278.04167,2.055001252,35.32992414,12.11392837,26.24825397,9.094751034,2.58231095,0.106175709,1.872772249,1.217700883,14.26022066
41278.08333,2.107714515,36.23617934,12.42466525,26.92155337,9.328042375,2.648550343,0.108899244,1.920811118,1.248936381,14.62601253
41278.125,2.346575461,40.34271654,13.83271519,29.97249203,10.38516136,2.948702586,0.121240468,2.138490864,1.390474584,16.28353454
