Report generated on: 01-13-2026 23:55:39
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.33-12-COD-BKWH.A","        Congo-Kinshasa","4.199","4.126","4.08","4.432","4.646","4.975","5.204","5.187","5.196","5.836","5.569","5.206","5.993","5.473","5.241","6.097","6.03","4.974","4.662","5.247","5.939","5.914","6.049","6.098","7.007","7.319","7.445","7.742","7.408","7.722","7.741","7.733","7.51","8.147","8.732","8.827","9.008","9.387","10.4326","11.76","12.453","13.131","13.192","13.669"
"INTL.33-12-COK-BKWH.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-CRI-BKWH.A","        Costa Rica","2.088","2.251","2.352","2.795","2.969","2.739","2.856","2.964","3.01","3.287","3.348","3.619","3.548","3.917","3.904","3.518","3.767","4.764","4.218","5.084","5.617","5.597","5.871","5.864","6.421","6.502","6.535","6.701","7.313","7.153","7.19","7.064","7.162","6.782","6.65","7.986","7.946","8.59","8.2596","7.7487","8.2943","9.286","9.449","8.54"
"INTL.33-12-CIV-BKWH.A","        Cote d'Ivoire","1.345","1.726","1.731","1.067","0.369","1.344","1.179","1.216","1.227","1.25","1.309","1.242","1.038","1.087","1.162","1.766","1.764","1.86","1.363","1.736","1.746","1.782","1.712","1.814","1.731","1.423","1.495","1.779","1.879","2.11","1.602","1.756","1.771","1.59","1.894","1.338","1.5137","2.0265","2.9324","3.455","3.354","2.609","3.354","3.354"
"INTL.33-12-HRV-BKWH.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","4.298","4.302","4.881","5.212","7.156","5.234","5.403","6.524","5.794","6.482","5.311","4.827","6.888","6.27","5.94","4.194","5.164","6.663","9.035","4.983","4.789","8.536","8.917","6.522","6.967","5.4378","7.6971","5.8541","5.7476","7.185","5.4678862","8.2270861"
"INTL.33-12-CUB-BKWH.A","        Cuba","0.096","0.059","0.043","0.062","0.069","0.053","0.058","0.044","0.072","0.081","0.103","0.104","0.08","0.081","0.049","0.073","0.094","0.129","0.096","0.102","0.088","0.074","0.105","0.127","0.0867","0.067","0.0925","0.1202","0.1369","0.1493","0.0956","0.098","0.11","0.126","0.103","0.048","0.063","0.082","0.145","0.136","0.1119","0.1197","0.122214631",".122337615"
"INTL.33-12-CYP-BKWH.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-CZE-BKWH.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","1.355","1.445","1.982","1.949","1.68201","1.382","1.664","1.7404","2.033","2.467","1.369","1.999","2.356","2.525","2.068","2.004","2.405","2.775","1.95","2.107","2.704","1.909","1.779","1.983","1.852","1.615","1.9879","2.1439","2.4085","2.06","2.317578495"
"INTL.33-12-DNK-BKWH.A","        Denmark","0.03","0.031","0.028","0.036","0.028","0.027","0.029","0.029","0.032","0.027","0.027","0.026","0.028","0.027","0.033","0.03","0.019","0.019","0.02673","0.031","0.03","0.028","0.032","0.021","0.027","0.023","0.023","0.028","0.026","0.019","0.021","0.017","0.017","0.013","0.015","0.018","0.0193","0.0179","0.0149","0.017","0.0171","0.0163","0.014834","0.0196861"
"INTL.33-12-DJI-BKWH.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
