,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
4326,Tochigi Prefecture Moka Solar,Solar,PV,PP,JP,3.9,,,,,,2013,2013,2035,36.38325,140.02655,"{nan, nan}","{'GEM': {'G100001039800', 'G100001039717'}}",2143
4327,Tochigi Prefecture Moka Solar,Solar,PV,PP,JP,2,,,,,,2016,2016,2035,36.423,139.9636,{nan},{'GEM': {'G100001039872'}},2143
4328,Tochigi Prefecture Moka Solar,Solar,PV,PP,JP,9.7,,,,,,2014,2014,2035,36.4643666666667,139.990033333333,"{nan, nan, nan}","{'GEM': {'G100001039848', 'G100001040044', 'G100001039849'}}",2143
4329,Tochigi Prefecture Moka Solar,Solar,PV,PP,JP,2.5,,,,,,2015,2015,2036,36.48495,139.9819,"{nan, nan}","{'GEM': {'G100001039894', 'G100001040063'}}",2143
4330,Tochigi Prefecture Moka Solar,Solar,PV,PP,JP,1,,,,,,2015,2015,2034,36.4282,139.9447,{nan},{'GEM': {'G100001039812'}},2143
4331,Tochigi Prefecture Moka Solar Xii,Solar,PV,PP,JP,1,,,,,,2015,2015,2035,36.3735,139.9341,{nan},{'GEM': {'G100001040045'}},2143
4332,Tochigi Prefecture Motegi Town Solar,Solar,PV,PP,JP,15.2,,,,,,2019,2019,2041,36.5791,140.1485,"{nan, nan}","{'GEM': {'G100001040111', 'G100001039956'}}",120
4333,Tochigi Prefecture Nakagawa Solar,Solar,PV,PP,JP,4,,,,,,2015.74075,2015.74075,2040.74075,36.7801,140.0624,"{nan, nan}","{'GEM': {'G100001039822', 'G100001039823'}}",2100
4334,Tochigi Prefecture Nakagawa Solar,Solar,PV,PP,JP,16,,,,,,2016,2016,2042,36.76065,140.1215,"{nan, nan}","{'GEM': {'G100001040145', 'G100001039828'}}",1670
4335,Tochigi Prefecture Nakagawa Solar,Solar,PV,PP,JP,45.6,,,,,,2014,2014,2044,36.72175,140.096125,"{nan, nan, nan, nan, nan, nan, nan, nan}","{'GEM': {'G100001040074', 'G100001039757', 'G100001039983', 'G100001040100', 'G100001040015', 'G100001039886', 'G100001040123', 'G100001040083'}}",1670
4336,Tochigi Prefecture Nakagawa Solar,Solar,PV,PP,JP,3,,,,,,2016,2016,2036,36.7969,140.1781,"{nan, nan}","{'GEM': {'G100001039796', 'G100001039916'}}",2100
