country,y,x,location,technology,capacity,unit,quality,ID,tech
CN,36.679431,114.169024,Handan,Integrated steelworks,2200.0,kt/yr,exact,SCN00070,Integrated steelworks
CN,36.640411,113.981172,Handan,Integrated steelworks,2250.0,kt/yr,exact,SCN00074,Integrated steelworks
CN,36.715632,114.208992,Handan,Integrated steelworks,3219.9999999999995,kt/yr,exact,SCN00075,Integrated steelworks
CN,36.744936,114.111602,Handan,Integrated steelworks,1700.0,kt/yr,exact,SCN00076,Integrated steelworks
CN,36.613716,114.082349,Handan,Integrated steelworks,2800.0,kt/yr,exact,SCN00293-1,Integrated steelworks
CN,36.685881,113.837073,Handan,Integrated steelworks,4700.0,kt/yr,exact,SCN00294,Integrated steelworks
CN,36.705105,114.105387,Handan,Integrated steelworks,2000.0,kt/yr,exact,SCN00318,Integrated steelworks
CN,36.718952,114.111677,Handan,Integrated steelworks,2700.0,kt/yr,exact,SCN00341,Integrated steelworks
CN,36.53048,114.245262,Handan,Integrated steelworks,1350.0,kt/yr,exact,SCN00347,Integrated steelworks
CN,38.289221,117.814367,Huanghua,Integrated steelworks,7500.0,kt/yr,exact,SCN00062,Integrated steelworks
CN,39.700721,118.871477,Qinhuangdao,Integrated steelworks,4100.0,kt/yr,exact,SCN00090,Integrated steelworks
CN,39.748773,118.819472,Qinhuangdao,Integrated steelworks,1500.0,kt/yr,exact,SCN00340,Integrated steelworks
CN,39.65849,118.894804,Qinhuangdao,Integrated steelworks,7100.0,kt/yr,exact,SCN00389,Integrated steelworks
CN,38.391372,114.139998,Shijiazhuang,Integrated steelworks,12000.0,kt/yr,exact,SCN00057,Integrated steelworks
CN,38.391372,114.139998,Shijiazhuang,Integrated steelworks,1330.0,kt/yr,exact,SCN00057-1,Integrated steelworks
CN,38.391372,114.139998,Shijiazhuang,Integrated steelworks,1330.0,kt/yr,exact,SCN00057-2,Integrated steelworks
CN,38.391372,114.139998,Shijiazhuang,Integrated steelworks,1600.0,kt/yr,exact,SCN00057-3,Integrated steelworks
CN,37.752351,115.184798,Shijiazhuang,Integrated steelworks,3600.0,kt/yr,exact,SCN00093,Integrated steelworks
CN,38.075008,114.033043,Shijiazhuang,Electric arc,2000.0,kt/yr,exact,SCN00290,Electric arc
CN,38.953664,118.50339,Tangshan,Integrated steelworks,13700.0,kt/yr,exact,SCN00043,Integrated steelworks
CN,39.976702,118.558788,Tangshan,Integrated steelworks,8000.0,kt/yr,exact,SCN00044,Integrated steelworks
CN,39.468366,118.256774,Tangshan,Integrated steelworks,5500.0,kt/yr,exact,SCN00045,Integrated steelworks
CN,39.497472,118.272056,Tangshan,Integrated steelworks,2400.0,kt/yr,exact,SCN00046,Integrated steelworks
CN,39.497472,118.272056,Tangshan,Integrated steelworks,2100.0,kt/yr,exact,SCN00046-1,Integrated steelworks
CN,39.952209,118.559444,Tangshan,Integrated steelworks,5920.0,kt/yr,exact,SCN00047,Integrated steelworks
CN,39.925508,118.672756,Tangshan,Integrated steelworks,9240.0,kt/yr,exact,SCN00048,Integrated steelworks
CN,39.925508,118.672757,Tangshan,Integrated steelworks,750.0,kt/yr,exact,SCN00048-1,Integrated steelworks
CN,39.938866,118.576678,Tangshan,Integrated steelworks,5000.0,kt/yr,exact,SCN00049,Integrated steelworks
CN,40.209844,118.220547,Tangshan,Integrated steelworks,5000.0,kt/yr,exact,SCN00054,Integrated steelworks
CN,40.183913,118.073913,Tangshan,Integrated steelworks,6500.0,kt/yr,exact,SCN00055,Integrated steelworks
CN,39.610605,118.474722,Tangshan,Integrated steelworks,10000.0,kt/yr,exact,SCN00056,Integrated steelworks
