,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
5482,transf_570_0,785,786,115000,230000,TH,"LINESTRING (102.1197 12.6675, 102.1207 12.6685)","MULTIPOINT ((102.1197 12.6675), (102.1207 12.6685))",POINT (102.1197 12.6675),POINT (102.1207 12.6685),102.1197,12.6675,102.1207,12.6685
5483,transf_575_0,791,792,115000,230000,TH,"LINESTRING (99.9198 12.5703, 99.9208 12.5713)","MULTIPOINT ((99.9198 12.5703), (99.9208 12.5713))",POINT (99.9198 12.5703),POINT (99.9208 12.5713),99.9198,12.5703,99.9208,12.5713
5484,transf_576_0,793,794,115000,230000,TH,"LINESTRING (100.1261 14.8039, 100.1271 14.8049)","MULTIPOINT ((100.1261 14.8039), (100.1271 14.8049))",POINT (100.1261 14.8039),POINT (100.1271 14.8049),100.1261,14.8039,100.1271,14.8049
5485,transf_583_0,801,802,115000,230000,TH,"LINESTRING (104.1192 17.268, 104.1202 17.269)","MULTIPOINT ((104.1192 17.268), (104.1202 17.269))",POINT (104.1192 17.268),POINT (104.1202 17.269),104.1192,17.268,104.1202,17.269
5486,transf_585_0,804,805,69000,115000,TH,"LINESTRING (103.9728 16.9789, 103.9738 16.9799)","MULTIPOINT ((103.9728 16.9789), (103.9738 16.9799))",POINT (103.9728 16.9789),POINT (103.9738 16.9799),103.9728,16.9789,103.9738,16.9799
5487,transf_586_0,806,807,115000,230000,TH,"LINESTRING (104.8593 15.2775, 104.8603 15.2785)","MULTIPOINT ((104.8593 15.2775), (104.8603 15.2785))",POINT (104.8593 15.2775),POINT (104.8603 15.2785),104.8593,15.2775,104.8603,15.2785
5488,transf_588_0,809,810,115000,230000,TH,"LINESTRING (103.7104 17.3704, 103.7114 17.3714)","MULTIPOINT ((103.7104 17.3704), (103.7114 17.3714))",POINT (103.7104 17.3704),POINT (103.7114 17.3714),103.7104,17.3704,103.7114,17.3714
5489,transf_591_0,813,814,115000,230000,TH,"LINESTRING (103.6344 18.3174, 103.6354 18.3184)","MULTIPOINT ((103.6344 18.3174), (103.6354 18.3184))",POINT (103.6344 18.3174),POINT (103.6354 18.3184),103.6344,18.3174,103.6354,18.3184
5490,transf_593_0,816,817,69000,500000,TH,"LINESTRING (100.7613 14.4284, 100.7623 14.4294)","MULTIPOINT ((100.7613 14.4284), (100.7623 14.4294))",POINT (100.7613 14.4284),POINT (100.7623 14.4294),100.7613,14.4284,100.7623,14.4294
5491,transf_608_0,832,833,115000,230000,TH,"LINESTRING (99.7897 15.9813, 99.7907 15.9823)","MULTIPOINT ((99.7897 15.9813), (99.7907 15.9823))",POINT (99.7897 15.9813),POINT (99.7907 15.9823),99.7897,15.9813,99.7907,15.9823
5492,transf_612_0,837,838,115000,230000,TH,"LINESTRING (100.4375 14.8758, 100.4385 14.8768)","MULTIPOINT ((100.4375 14.8758), (100.4385 14.8768))",POINT (100.4375 14.8758),POINT (100.4385 14.8768),100.4375,14.8758,100.4385,14.8768
5493,transf_614_0,840,841,230000,500000,TH,"LINESTRING (100.6827 14.5972, 100.6837 14.5982)","MULTIPOINT ((100.6827 14.5972), (100.6837 14.5982))",POINT (100.6827 14.5972),POINT (100.6837 14.5982),100.6827,14.5972,100.6837,14.5982
5494,transf_615_0,842,843,69000,115000,TH,"LINESTRING (100.6037 14.3819, 100.6047 14.3829)","MULTIPOINT ((100.6037 14.3819), (100.6047 14.3829))",POINT (100.6037 14.3819),POINT (100.6047 14.3829),100.6037,14.3819,100.6047,14.3829
5495,transf_625_0,853,854,115000,230000,TH,"LINESTRING (99.1171 10.5012, 99.1181 10.5022)","MULTIPOINT ((99.1171 10.5012), (99.1181 10.5022))",POINT (99.1171 10.5012),POINT (99.1181 10.5022),99.1171,10.5012,99.1181,10.5022
5496,transf_629_0,858,859,115000,230000,TH,"LINESTRING (100.9932 15.8258, 100.9942 15.8268)","MULTIPOINT ((100.9932 15.8258), (100.9942 15.8268))",POINT (100.9932 15.8258),POINT (100.9942 15.8268),100.9932,15.8258,100.9942,15.8268
5497,transf_632_0,862,863,230000,500000,TH,"LINESTRING (102.5808 16.4655, 102.5818 16.4665)","MULTIPOINT ((102.5808 16.4655), (102.5818 16.4665))",POINT (102.5808 16.4655),POINT (102.5818 16.4665),102.5808,16.4655,102.5818,16.4665
5498,transf_637_0,868,869,115000,230000,TH,"LINESTRING (101.0787 13.0792, 101.0797 13.0802)","MULTIPOINT ((101.0787 13.0792), (101.0797 13.0802))",POINT (101.0787 13.0792),POINT (101.0797 13.0802),101.0787,13.0792,101.0797,13.0802
5499,transf_639_0,871,872,115000,230000,TH,"LINESTRING (100.9069 12.7515, 100.9079 12.7525)","MULTIPOINT ((100.9069 12.7515), (100.9079 12.7525))",POINT (100.9069 12.7515),POINT (100.9079 12.7525),100.9069,12.7515,100.9079,12.7525
