,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
1969,1969,1306,110000,False,substation,False,transmission,0.0,107.1493,14.957,LA,POINT (107.1493 14.957),True
1970,1970,1306,220000,False,substation,False,transmission,0.0,107.1503,14.958,LA,POINT (107.1503 14.958),False
1971,1971,1307,70000,False,substation,False,transmission,0.0,125.1892,1.4467,ID,POINT (125.1892 1.4467),True
1972,1972,1308,150000,False,substation,False,transmission,0.0,110.7057,-7.6713,ID,POINT (110.7057 -7.6713),True
1973,1973,1308,500000,False,substation,False,transmission,0.0,110.7067,-7.6703,ID,POINT (110.7067 -7.6703),False
1974,1974,1309,150000,False,substation,False,transmission,0.0,122.8636,0.778,ID,POINT (122.8636 0.778),True
1975,1975,1310,150000,False,substation,False,transmission,0.0,106.7329,-6.8228,ID,POINT (106.7329 -6.8228),True
1976,1976,1311,150000,False,substation,False,transmission,0.0,106.6453,-6.322,ID,POINT (106.6453 -6.322),True
1977,1977,1311,500000,False,substation,False,transmission,0.0,106.6463,-6.321,ID,POINT (106.6463 -6.321),False
1978,1978,1312,150000,False,substation,False,transmission,0.0,106.0499,-5.8919,ID,POINT (106.0499 -5.8919),True
1979,1979,1312,500000,False,substation,False,transmission,0.0,106.0509,-5.8909,ID,POINT (106.0509 -5.8909),False
1980,1980,1313,150000,False,substation,False,transmission,0.0,106.1721,-6.3427,ID,POINT (106.1721 -6.3427),True
1981,1981,1314,150000,False,substation,False,transmission,0.0,106.6536,-6.7547,ID,POINT (106.6536 -6.7547),True
1982,1982,1315,70000,False,substation,False,transmission,0.0,119.8871,-0.789,ID,POINT (119.8871 -0.789),True
1983,1983,1315,150000,False,substation,False,transmission,0.0,119.8881,-0.788,ID,POINT (119.8881 -0.788),False
1984,1984,1316,150000,False,substation,False,transmission,0.0,115.0805,-8.1839,ID,POINT (115.0805 -8.1839),True
1985,1985,1317,150000,False,substation,False,transmission,0.0,112.1652,-7.2064,ID,POINT (112.1652 -7.2064),True
1986,1986,1318,150000,False,substation,False,transmission,0.0,112.0349,-6.8884,ID,POINT (112.0349 -6.8884),True
1987,1987,1319,150000,False,substation,False,transmission,0.0,107.7329,-7.2179,ID,POINT (107.7329 -7.2179),True
