,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.location,tags.generator:solar:tracking,other_tags,geometry,Country
18735,11096443254,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48636849999997 15.124568699999948),TH
18736,11096443255,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48732429999997 15.122640299999947),TH
18737,11096443256,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.488493 15.120803699999946),TH
18738,11096443257,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.49316169999996 15.125730699999947),TH
18739,11096443258,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.49207989999996 15.127570399999946),TH
18740,11096443259,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.49163539999996 15.129601699999947),TH
18741,11096443260,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.490223 15.131391399999947),TH
18742,11096443261,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48958119999996 15.133510399999947),TH
18743,11096443262,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48892229999996 15.135487699999947),TH
18744,11096443267,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48223839999994 15.133231699999948),TH
18745,11096496062,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.43562859999994 14.989945),TH
18746,11096496063,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.436327 14.987309199999956),TH
18747,11096496064,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.43679179999995 14.984544899999955),TH
18748,11096496065,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.43754 14.981865399999956),TH
18749,11096496066,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.43825909999995 14.979182899999955),TH
18750,11096496067,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.43891379999995 14.976480699999955),TH
18751,11096496068,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.43981409999995 14.973803899999956),TH
18752,11096496069,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44058569999994 14.971022499999956),TH
18753,11096496070,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44104459999994 14.968444399999957),TH
18754,11096496071,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44193609999994 14.965891699999956),TH
