snapshot,MA 0,MA 1,MA 2,MA 3
2013-02-17 11:00:00,1751.1008058036914,3637.206615973783,4854.743496939507,1333.5681794588868
2013-02-17 12:00:00,1839.4633265911548,3813.543177859468,5094.192235040034,1399.343275083146
2013-02-17 13:00:00,1950.1534458185538,4022.7561218845576,5373.6622463172325,1476.11196829778
2013-02-17 14:00:00,2069.5263081896637,4242.988166621488,5667.851749328335,1556.9240153593303
2013-02-17 15:00:00,2008.6123656164316,4109.505331741281,5489.543234321681,1507.9437629753795
2013-02-17 16:00:00,2013.9284560965364,4125.349835976502,5510.708577593979,1513.7577525946153
2013-02-17 17:00:00,2062.3973282090556,4253.0391063198595,5681.2779560285935,1561.2430448289301
2013-02-17 18:00:00,1887.2430665198858,3903.1626367117683,5213.907347758419,1435.6685603078056
2013-02-17 19:00:00,1560.3408762164556,3244.3752293073626,4325.881580726049,1193.72237792048
2013-02-17 20:00:00,1219.1925258659624,2578.3378478482523,3411.0908894473346,948.5682511886707
2013-02-17 21:00:00,896.2687417209954,1927.709151224671,2535.954015038426,711.8782027504185
2013-02-17 22:00:00,649.9718201976215,1390.2941709765792,1841.7784630804226,513.5637193509448
2013-02-17 23:00:00,437.2599870312595,932.4783221013969,1237.4778577175866,344.2021233787777
2013-02-18 00:00:00,289.5441340011757,618.5791458043336,820.0922092170649,228.15283073007456
2013-02-18 01:00:00,221.66689165215806,473.41376973936804,627.1683719074339,174.53287493391383
2013-02-18 02:00:00,210.5086488521993,451.06193452540595,597.2230643506552,166.07937122600543
2013-02-18 03:00:00,271.00144869495887,578.6263391509558,767.6763338177996,212.99757382764966
2013-02-18 04:00:00,471.8580764984321,1006.1442448746382,1333.4700043503888,370.30884638971014
2013-02-18 05:00:00,1099.0776904772374,2333.5301696878623,3097.9694537522396,858.8507815586435
2013-02-18 06:00:00,1995.4461650540052,4233.500596352786,5620.972185682869,1557.712777787132
2013-02-18 07:00:00,2511.946126811342,5345.49405095659,7083.002087670151,1969.1325014987813
2013-02-18 08:00:00,2229.883065582217,4709.224727580722,6275.121284725623,1728.9613084117889
2013-02-18 09:00:00,1951.624052348159,4128.676932155787,5502.980043597557,1515.5101272775719
2013-02-18 10:00:00,1820.391742679497,3778.0990194253477,5053.375746284359,1386.3373794022666
2013-02-18 11:00:00,1820.5345460056776,3778.3953979981375,5047.241266112236,1386.4461326911032
2013-02-18 12:00:00,1846.1280029740071,3831.5128739835122,5118.196443774995,1405.9370835845043
2013-02-18 13:00:00,1920.2832931650764,3985.417125792352,5323.784215550089,1462.4107800213933
2013-02-18 14:00:00,2007.980487096487,4167.426676061419,5566.915496471954,1529.1974475091558
2013-02-18 15:00:00,2178.066380945991,4520.428358998646,6038.4608149084015,1658.7280462392603
2013-02-18 16:00:00,2427.7367114351687,5038.602117253734,6730.645644761626,1848.8669617099422
2013-02-18 17:00:00,2345.4236473741657,4867.766961653095,6502.441299735405,1786.180631704438
2013-02-18 18:00:00,1926.3210822576275,3997.9481456356343,5349.440154153171,1467.0089181647966
2013-02-18 19:00:00,1357.1589391155164,2816.6909005692164,3777.110930874414,1033.5578452560712
2013-02-18 20:00:00,965.5191236359317,2005.7069864912596,2712.973453905635,735.948323415578
2013-02-18 21:00:00,732.0107446499569,1534.3901665676508,2059.0019227679563,565.3785693599833
2013-02-18 22:00:00,583.3167612235268,1222.3025526595266,1640.0966679034418,449.1948842402599
2013-02-18 23:00:00,378.12064523146165,791.8685959211762,1062.7321869560044,290.9439860970706
2013-02-19 00:00:00,254.953794943107,533.0970938786935,716.3005648496546,195.93093364508573
2013-02-19 01:00:00,203.24682014624875,424.9907554892479,569.7054767340119,156.54312614342464
2013-02-19 02:00:00,194.95874598536176,407.8988307470211,546.224851624201,150.2513816134631
2013-02-19 03:00:00,230.1509177488882,480.05876324562746,645.1296364961725,176.44608201176013
2013-02-19 04:00:00,370.73875809181453,774.8762735042504,1039.1472625944978,284.97125809206256
2013-02-19 05:00:00,930.1013798077755,1931.3599709874713,2602.737285543307,709.7412028804265
2013-02-19 06:00:00,1862.7187233466489,3863.796525789051,5206.105963151296,1419.5742746393282
2013-02-19 07:00:00,2473.6028446838477,5136.0590375592155,6915.060682393041,1887.5832241499938
2013-02-19 08:00:00,2271.140824394114,4702.376884027063,6351.574016396676,1725.0802695307777
2013-02-19 09:00:00,1970.524888949364,4078.2842940447536,5515.833337987493,1493.7901325869932
2013-02-19 10:00:00,1789.192268065968,3690.828917458802,5019.893389147898,1349.1660177032327
2013-02-19 11:00:00,1763.5610896079882,3651.714508162696,4954.071110964832,1336.774553547115
2013-02-19 12:00:00,1822.6284221166902,3791.489891243118,5127.150020294544,1388.897613305592
2013-02-19 13:00:00,1932.7300838088472,4016.2001849079256,5443.617200058546,1469.3780591891523
2013-02-19 14:00:00,2039.4954915103785,4259.487208547601,5768.727458425937,1553.2342933640061
2013-02-19 15:00:00,2254.7674235654636,4709.197619657603,6384.44119142514,1711.7089375376672
2013-02-19 16:00:00,2533.6203372434616,5279.62769692746,7161.612809922116,1918.7358421225965
2013-02-19 17:00:00,2469.8208126184377,5166.127781859469,6964.8178253765445,1886.7741783023334
2013-02-19 18:00:00,2067.135145971699,4317.904187954259,5821.501014993461,1578.056984551656
2013-02-19 19:00:00,1461.737008101377,3054.7130300920307,4119.075164324174,1116.3503887035906
2013-02-19 20:00:00,1027.7100313112003,2140.8612320043776,2890.1972229555613,782.9226748278701
2013-02-19 21:00:00,779.5911772053732,1630.9292206249188,2195.8058771411797,597.7818263450245
2013-02-19 22:00:00,628.9744016273037,1318.5561165177253,1770.3938953407746,484.2368347903107
2013-02-19 23:00:00,413.75631485614053,867.6405810908315,1164.5363570364166,318.74468682568556
2013-02-20 00:00:00,274.0135797422248,575.1774949950146,772.4444005748876,211.12650091568662
2013-02-20 01:00:00,212.14362175754505,445.0029894720165,597.5079437054844,163.30540754790195
2013-02-20 02:00:00,199.04684895585342,417.35381898509155,560.0697608671431,153.19899538656298
2013-02-20 03:00:00,231.0910619746439,482.5382545977608,649.7880318669744,176.7774125147622
2013-02-20 04:00:00,371.96564563508304,774.7465941801669,1046.0337629857875,283.6652626284188
2013-02-20 05:00:00,934.9613443486712,1947.3487430267805,2630.645019996405,713.1856865722956
2013-02-20 06:00:00,1892.134226987146,3940.413348911535,5320.720993805094,1443.59513637372
2013-02-20 07:00:00,2519.6959577682037,5259.693590551173,7089.291799265031,1927.0708431990474
2013-02-20 08:00:00,2296.890894781397,4811.843664015355,6460.357089041474,1769.8200353258865
2013-02-20 09:00:00,1995.6898797082822,4212.268468746402,5623.67618478842,1554.194835077428
2013-02-20 10:00:00,1813.3780837215877,3857.3157136045324,5122.9722467706215,1427.225466679311
2013-02-20 11:00:00,1805.1781047011152,3862.8261537593917,5114.171289606289,1429.2843887002289
2013-02-20 12:00:00,1877.143450392623,4027.660072054643,5331.241002351399,1490.39475879113
2013-02-20 13:00:00,2003.2580566600986,4307.1990570255575,5697.720617044006,1592.450693267719
2013-02-20 14:00:00,2122.2027204591523,4515.521003149508,5981.410354275327,1670.1572982239463
2013-02-20 15:00:00,2315.453556976227,4918.267221855274,6500.902615226587,1819.153898335362
2013-02-20 16:00:00,2575.152603246115,5474.349258201161,7230.2846592292035,2026.4877184045874
2013-02-20 17:00:00,2498.9009113606344,5354.367663643363,7041.037475594358,1985.9572920120315
2013-02-20 18:00:00,2100.208434496918,4520.838200065926,5940.040313869468,1676.0792877076574
2013-02-20 19:00:00,1533.098864047905,3285.8405807711874,4345.682478081938,1214.6419259451823
2013-02-20 20:00:00,1101.648252649571,2361.47370796388,3126.1186749253025,872.470292406964
2013-02-20 21:00:00,833.5919689471958,1798.8551832960807,2368.0097824275604,665.3874415407461
2013-02-20 22:00:00,677.3627595517038,1462.7768808370383,1921.9274754808673,541.1818402433496
2013-02-20 23:00:00,453.5555672898999,974.4036608939017,1284.743619146566,359.94756326019905
2013-02-21 00:00:00,295.79515143802496,634.3123230229444,837.5987974963775,234.0191074024764
2013-02-21 01:00:00,224.29242605349214,480.72808670717757,635.3716228180119,177.14013155026186
2013-02-21 02:00:00,205.9276981706697,443.36498382208754,584.191296297513,163.442668845384
2013-02-21 03:00:00,234.2050258728097,503.4614154831836,663.2340827757608,185.45993114094418
2013-02-21 04:00:00,369.67577513306014,794.239323602108,1046.4710438614327,292.53147372590513
2013-02-21 05:00:00,908.6513907219177,1947.8996371024932,2568.976391615197,718.1194592556092
2013-02-21 06:00:00,1825.8057079961409,3900.164925240983,5154.244419916862,1438.7343157451958
2013-02-21 07:00:00,2455.235584047684,5227.253242321858,6917.782505150982,1929.3318906282075
2013-02-21 08:00:00,2246.563657013874,4742.231988775116,6300.092546885375,1746.916594641815
2013-02-21 09:00:00,1973.5695227621356,4190.022570002054,5553.625572278582,1542.1248009798844
2013-02-21 10:00:00,1818.2536596270747,3872.6444091460135,5133.302131205548,1420.6458100974717
2013-02-21 11:00:00,1832.9807630239325,3896.268946326058,5151.118997422704,1430.081558223354
2013-02-21 12:00:00,1912.0788521870563,4035.70969283307,5319.866855886059,1482.4043567393753
2013-02-21 13:00:00,2039.9534344326323,4285.38362590734,5655.557142711675,1574.4811867006897
2013-02-21 14:00:00,2170.869241464295,4509.148855205188,6018.507499839659,1655.0417886402977
2013-02-21 15:00:00,2359.9187412230553,4897.850541232708,6542.627428579158,1797.219514132613
2013-02-21 16:00:00,2588.3151944237916,5371.871816789468,7175.832662809759,1971.157097440377
2013-02-21 17:00:00,2511.534885901034,5251.152219464683,6962.967302769686,1934.4464820792873
2013-02-21 18:00:00,2173.7215572562036,4568.262562183595,6026.415246495986,1684.0202297651158
2013-02-21 19:00:00,1608.506987750243,3373.132032105877,4459.659187995305,1243.5105880205997
2013-02-21 20:00:00,1151.309069905764,2438.2538464988497,3240.1627191103407,898.4870341625243
2013-02-21 21:00:00,879.9780499090368,1865.942384329145,2486.240175042579,688.5813178877362
2013-02-21 22:00:00,714.0162457138408,1509.811536176579,2016.8710391978939,556.0884925066168
2013-02-21 23:00:00,477.00853364412717,1007.5543884611743,1344.865171341218,371.2670744388949
2013-02-22 00:00:00,311.6352978028358,657.2084214790843,877.3600630083965,242.2449925896313
2013-02-22 01:00:00,234.22902963471265,495.60233885792223,659.6739689964634,182.5596822532846
2013-02-22 02:00:00,213.18862486655266,450.07381601430393,600.1288896846668,165.7281767286726
2013-02-22 03:00:00,239.57568925896047,502.51510548513374,672.6507669739292,184.7024374686566
2013-02-22 04:00:00,367.4299420536342,769.3784952916745,1030.5194075578718,282.77028528789936
2013-02-22 05:00:00,861.6770568679199,1805.482057982532,2412.806710786034,663.6951558197419
2013-02-22 06:00:00,1681.9960064505399,3518.9081703625297,4706.773374612818,1292.4692239282797
2013-02-22 07:00:00,2255.195485658758,4708.599240227608,6309.567776671861,1728.2656849949133
2013-02-22 08:00:00,2051.6671993556247,4243.976233295126,5722.052120655065,1553.137639533945
2013-02-22 09:00:00,1877.6691540236802,3930.7525120371606,5246.164907938847,1442.2609669468313
2013-02-22 10:00:00,1908.1676162010697,3975.526792641348,5290.194770695123,1456.860453593837
2013-02-22 11:00:00,2067.441712710312,4290.834398101923,5731.765513907861,1574.480733387052
2013-02-22 12:00:00,2334.584713762966,4845.271493514017,6472.391492043964,1777.9261343532542
2013-02-22 13:00:00,2545.022161919974,5282.020077839112,7055.807266605208,1938.1868593204354
2013-02-22 14:00:00,2649.065192764169,5497.954298806241,7344.255667587416,2017.4218609653562
2013-02-22 15:00:00,2674.3579756077297,5542.45799604737,7403.704421237972,2033.752067952986
2013-02-22 16:00:00,2631.8602459465346,5462.246604040889,7296.55675533675,2004.3192631427542
2013-02-22 17:00:00,2488.499155030838,5164.710428549841,6899.103152705518,1895.1412030424738
2013-02-22 18:00:00,2201.9289960996693,4569.953590738235,6104.617415004374,1677.051935065789
2013-02-22 19:00:00,1725.9720782692493,3582.1374397503328,4787.376035718926,1318.6839434318151
