,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
170,Lunzua,Hydro,,PP,ZM,14.8,,,0,0,0,1960,1960,2060,-8.88,31.15,,,
171,Musonda Falls,Hydro,Reservoir,PP,ZM,110,,,0,0,0,1960,1960,2060,-10.7,28.8,,,
172,Lunsemfwa,Hydro,Run-Of-River,PP,ZM,18,,,0,0,0,1964,1964,2064,-14.5,29.11,,,
173,Kalungwishi,Hydro,Run-Of-River,PP,ZM,101,,,0,0,0,2046,2046,2146,-9.51,29.35,,,
174,Devil's Gorge North,Hydro,,PP,ZM,600,,,0,0,0,2049,2049,2149,-17.98,26.86,,,
175,Lunsemfwa Ext,Hydro,Run-Of-River,PP,ZM,55,,,0,0,0,2048,2048,2148,-14.63,29.11,,,
176,Mambilima Falls,Hydro,,PP,ZM,226,,,0,0,0,2046,2046,2146,-10.5,28.63,,,
177,Mkushi,Hydro,,PP,ZM,65,,,0,0,0,2048,2048,2148,-14.61,29.15,,,
178,Mupata Gorge North,Hydro,Reservoir,PP,ZM,600,,,0,0,0,2040,2040,2140,-15.61,30.083,,,
179,Mupata Gorge South,Hydro,Reservoir,PP,ZW,600,,,0,0,0,2048,2048,2148,-15.61,30.083,,,
180,Gairezi,Hydro,,PP,ZW,30,,,0,0,0,2031,2031,2131,-18.05,32.93,,,
181,Chiumbe Dala,Hydro,Run-Of-River,PP,AO,26,,,0,0,0,2000,2000,2100,-11.01666667,20.2,,,
182,Calueque,Hydro,Run-Of-River,PP,AO,10.5,,,0,0,0,2000,2000,2100,-14.26666667,14.53333333,,,
183,Talihya-Nord 1,Hydro,,PP,CD,13.8,,,0,0,0,2000,2000,2100,0.1,29.4,,,
184,Kakobola,Hydro,,PP,CD,9,,,0,0,0,2000,2000,2100,-5.616666667,19.05,,,
185,Kalule Lubudi,Hydro,,PP,CD,2,,,0,0,0,2000,2000,2100,-9.95,25.9,,,
186,Mugombe,Hydro,,PP,CD,1.6,,,0,0,0,2000,2000,2100,-3.166666667,28.16666667,,,
187,Khubedu,Hydro,,PP,LS,4.9,,,0,0,0,2000,2000,2100,-30.28,27.78,,,
188,Ruo-Ndiza,Hydro,,PP,MW,5.2,,,0,0,0,2000,2000,2100,-16.08333333,35.65,,,
189,Wovwe,Hydro,Run-Of-River,PP,MW,4.4,,,0,0,0,2000,2000,2100,-10.43333333,34.08333333,,,
190,Lydenburg,Hydro,Run-Of-River,PP,ZA,5,,,0,0,0,2000,2000,2100,-25,30.43333333,,,
191,Kouga dam,Hydro,Reservoir,PP,ZA,8,,,0,0,0,2000,2000,2100,-33.68333333,24.5,,,
192,Tulila,Hydro,Reservoir,PP,TZ,20,,,0,0,0,2000,2000,2100,-11.08333333,35.26666667,,,
193,Tosamaganga,Hydro,,PP,TZ,6.3,,,0,0,0,2000,2000,2100,-7.833333333,35.58333333,,,
194,Pungwe hauna,Hydro,Run-Of-River,PP,ZW,30,,,0,0,0,2000,2000,2100,-18.41666667,32.83333333,,,
195,Kupinga,Hydro,Run-Of-River,PP,ZW,4.2,,,0,0,0,2000,2000,2100,-20.05,32.8,,,
