"Installed electricity capacity by country/area (MW) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Installed electricity capacity by country/area (MW)
"Angola","Onshore wind energy","On-grid","2020",..
"Angola","Onshore wind energy","Off-grid","2020",..
"Angola","Offshore wind energy","On-grid","2020",..
"Angola","Offshore wind energy","Off-grid","2020",..
"Angola","Renewable hydropower","On-grid","2020",3694.000
"Angola","Renewable hydropower","Off-grid","2020",35.279
"Angola","Mixed Hydro Plants","On-grid","2020",..
"Angola","Mixed Hydro Plants","Off-grid","2020",..
"Angola","Pumped storage","On-grid","2020",..
"Angola","Pumped storage","Off-grid","2020",..
"Angola","Marine energy","On-grid","2020",..
"Angola","Marine energy","Off-grid","2020",..
"Angola","Solid biofuels","On-grid","2020",51.000
"Angola","Solid biofuels","Off-grid","2020",..
"Angola","Renewable municipal waste","On-grid","2020",..
"Angola","Renewable municipal waste","Off-grid","2020",..
"Angola","Liquid biofuels","On-grid","2020",..
"Angola","Liquid biofuels","Off-grid","2020",..
"Angola","Biogas","On-grid","2020",..
"Angola","Biogas","Off-grid","2020",..
"Angola","Geothermal energy","On-grid","2020",..
"Angola","Geothermal energy","Off-grid","2020",..
"Angola","Coal and peat","On-grid","2020",..
"Angola","Coal and peat","Off-grid","2020",..
"Angola","Oil","On-grid","2020",464.100
"Angola","Oil","Off-grid","2020",..
"Angola","Natural gas","On-grid","2020",1146.040
"Angola","Natural gas","Off-grid","2020",..
"Angola","Fossil fuels n.e.s.","On-grid","2020",..
"Angola","Fossil fuels n.e.s.","Off-grid","2020",526.716
"Angola","Nuclear","On-grid","2020",..
"Angola","Nuclear","Off-grid","2020",..
"Angola","Other non-renewable energy","On-grid","2020",..
"Angola","Other non-renewable energy","Off-grid","2020",..
"Anguilla","Solar photovoltaic","On-grid","2020",1.511
"Anguilla","Solar photovoltaic","Off-grid","2020",..
"Anguilla","Solar thermal energy","On-grid","2020",..
"Anguilla","Solar thermal energy","Off-grid","2020",..
"Anguilla","Onshore wind energy","On-grid","2020",..
"Anguilla","Onshore wind energy","Off-grid","2020",..
"Anguilla","Offshore wind energy","On-grid","2020",..
"Anguilla","Offshore wind energy","Off-grid","2020",..
"Anguilla","Renewable hydropower","On-grid","2020",..
"Anguilla","Renewable hydropower","Off-grid","2020",..
"Anguilla","Mixed Hydro Plants","On-grid","2020",..
"Anguilla","Mixed Hydro Plants","Off-grid","2020",..
"Anguilla","Pumped storage","On-grid","2020",..
"Anguilla","Pumped storage","Off-grid","2020",..
"Anguilla","Marine energy","On-grid","2020",..
"Anguilla","Marine energy","Off-grid","2020",..
"Anguilla","Solid biofuels","On-grid","2020",..
"Anguilla","Solid biofuels","Off-grid","2020",..
"Anguilla","Renewable municipal waste","On-grid","2020",..
"Anguilla","Renewable municipal waste","Off-grid","2020",..
"Anguilla","Liquid biofuels","On-grid","2020",..
"Anguilla","Liquid biofuels","Off-grid","2020",..
"Anguilla","Biogas","On-grid","2020",..
"Anguilla","Biogas","Off-grid","2020",..
"Anguilla","Geothermal energy","On-grid","2020",..
"Anguilla","Geothermal energy","Off-grid","2020",..
"Anguilla","Coal and peat","On-grid","2020",..
"Anguilla","Coal and peat","Off-grid","2020",..
"Anguilla","Oil","On-grid","2020",23.800
"Anguilla","Oil","Off-grid","2020",..
"Anguilla","Natural gas","On-grid","2020",..
"Anguilla","Natural gas","Off-grid","2020",..
"Anguilla","Fossil fuels n.e.s.","On-grid","2020",..
"Anguilla","Fossil fuels n.e.s.","Off-grid","2020",..
"Anguilla","Nuclear","On-grid","2020",..
"Anguilla","Nuclear","Off-grid","2020",..
"Anguilla","Other non-renewable energy","On-grid","2020",..
"Anguilla","Other non-renewable energy","Off-grid","2020",..
"Antigua and Barbuda","Solar photovoltaic","On-grid","2020",12.450
"Antigua and Barbuda","Solar photovoltaic","Off-grid","2020",0.414
"Antigua and Barbuda","Solar thermal energy","On-grid","2020",..
"Antigua and Barbuda","Solar thermal energy","Off-grid","2020",..
"Antigua and Barbuda","Onshore wind energy","On-grid","2020",4.000
"Antigua and Barbuda","Onshore wind energy","Off-grid","2020",..
"Antigua and Barbuda","Offshore wind energy","On-grid","2020",..
"Antigua and Barbuda","Offshore wind energy","Off-grid","2020",..
"Antigua and Barbuda","Renewable hydropower","On-grid","2020",..
"Antigua and Barbuda","Renewable hydropower","Off-grid","2020",..
"Antigua and Barbuda","Mixed Hydro Plants","On-grid","2020",..
"Antigua and Barbuda","Mixed Hydro Plants","Off-grid","2020",..
"Antigua and Barbuda","Pumped storage","On-grid","2020",..
"Antigua and Barbuda","Pumped storage","Off-grid","2020",..
"Antigua and Barbuda","Marine energy","On-grid","2020",..
"Antigua and Barbuda","Marine energy","Off-grid","2020",..
"Antigua and Barbuda","Solid biofuels","On-grid","2020",..
"Antigua and Barbuda","Solid biofuels","Off-grid","2020",..
"Antigua and Barbuda","Renewable municipal waste","On-grid","2020",..
"Antigua and Barbuda","Renewable municipal waste","Off-grid","2020",..
"Antigua and Barbuda","Liquid biofuels","On-grid","2020",..
"Antigua and Barbuda","Liquid biofuels","Off-grid","2020",..
"Antigua and Barbuda","Biogas","On-grid","2020",..
"Antigua and Barbuda","Biogas","Off-grid","2020",..
"Antigua and Barbuda","Geothermal energy","On-grid","2020",..
"Antigua and Barbuda","Geothermal energy","Off-grid","2020",..
"Antigua and Barbuda","Coal and peat","On-grid","2020",..
"Antigua and Barbuda","Coal and peat","Off-grid","2020",..
"Antigua and Barbuda","Oil","On-grid","2020",..
"Antigua and Barbuda","Oil","Off-grid","2020",..
"Antigua and Barbuda","Natural gas","On-grid","2020",..
"Antigua and Barbuda","Natural gas","Off-grid","2020",..
"Antigua and Barbuda","Fossil fuels n.e.s.","On-grid","2020",82.700
"Antigua and Barbuda","Fossil fuels n.e.s.","Off-grid","2020",..
"Antigua and Barbuda","Nuclear","On-grid","2020",..
"Antigua and Barbuda","Nuclear","Off-grid","2020",..
"Antigua and Barbuda","Other non-renewable energy","On-grid","2020",..
"Antigua and Barbuda","Other non-renewable energy","Off-grid","2020",..
"Argentina","Solar photovoltaic","On-grid","2020",762.105
"Argentina","Solar photovoltaic","Off-grid","2020",2.030
"Argentina","Solar thermal energy","On-grid","2020",..
"Argentina","Solar thermal energy","Off-grid","2020",..
"Argentina","Onshore wind energy","On-grid","2020",2623.095
"Argentina","Onshore wind energy","Off-grid","2020",0.809
"Argentina","Offshore wind energy","On-grid","2020",..
"Argentina","Offshore wind energy","Off-grid","2020",..
"Argentina","Renewable hydropower","On-grid","2020",10370.000
"Argentina","Renewable hydropower","Off-grid","2020",4.055
"Argentina","Mixed Hydro Plants","On-grid","2020",..
"Argentina","Mixed Hydro Plants","Off-grid","2020",..
"Argentina","Pumped storage","On-grid","2020",974.000
"Argentina","Pumped storage","Off-grid","2020",..
"Argentina","Marine energy","On-grid","2020",..
"Argentina","Marine energy","Off-grid","2020",..
"Argentina","Solid biofuels","On-grid","2020",248.427
"Argentina","Solid biofuels","Off-grid","2020",6.318
"Argentina","Renewable municipal waste","On-grid","2020",..
"Argentina","Renewable municipal waste","Off-grid","2020",..
"Argentina","Liquid biofuels","On-grid","2020",..
"Argentina","Liquid biofuels","Off-grid","2020",..
"Argentina","Biogas","On-grid","2020",54.575
"Argentina","Biogas","Off-grid","2020",0.297
"Argentina","Geothermal energy","On-grid","2020",..
"Argentina","Geothermal energy","Off-grid","2020",..
