ANO;GRANDE REGIÃO;UF;MUNICÍPIO;CÓDIGO IBGE;PRODUTO;VENDAS
2020;REGIÃO SUDESTE;SP;CUBATAO;3513504;QUEROSENE DE AVIAÇÃO;3387
2020;REGIÃO SUDESTE;SP;CASTILHO;3511003;QUEROSENE DE AVIAÇÃO;1290
2020;REGIÃO SUDESTE;SP;CARAPICUIBA;3510609;QUEROSENE DE AVIAÇÃO;684164
2020;REGIÃO SUDESTE;SP;CATANDUVA;3511102;QUEROSENE DE AVIAÇÃO;60000
2020;REGIÃO SUDESTE;SP;CRISTAIS PAULISTA;3513207;QUEROSENE DE AVIAÇÃO;902
2020;REGIÃO SUDESTE;SP;COTIA;3513009;QUEROSENE DE AVIAÇÃO;19904
2020;REGIÃO CENTRO-OESTE;GO;POSSE;5218300;QUEROSENE DE AVIAÇÃO;25000
2020;REGIÃO CENTRO-OESTE;GO;PIRES DO RIO;5217401;QUEROSENE DE AVIAÇÃO;41046
2020;REGIÃO CENTRO-OESTE;GO;QUIRINOPOLIS;5218508;QUEROSENE DE AVIAÇÃO;198500
2020;REGIÃO CENTRO-OESTE;GO;SANTA HELENA DE GOIAS;5219308;QUEROSENE DE AVIAÇÃO;11010
2020;REGIÃO CENTRO-OESTE;GO;RIO VERDE;5218805;QUEROSENE DE AVIAÇÃO;175245
2020;REGIÃO CENTRO-OESTE;GO;NOVO PLANALTO;5215256;QUEROSENE DE AVIAÇÃO;1292
2020;REGIÃO CENTRO-OESTE;GO;MONTES CLAROS DE GOIAS;5213707;QUEROSENE DE AVIAÇÃO;9487
2020;REGIÃO CENTRO-OESTE;GO;MINEIROS;5213103;QUEROSENE DE AVIAÇÃO;247000
2020;REGIÃO CENTRO-OESTE;GO;MONTIVIDIU;5213756;QUEROSENE DE AVIAÇÃO;987
2020;REGIÃO CENTRO-OESTE;GO;NOVA CRIXAS;5214838;QUEROSENE DE AVIAÇÃO;12000
2020;REGIÃO CENTRO-OESTE;GO;NEROPOLIS;5214507;QUEROSENE DE AVIAÇÃO;4707
2020;REGIÃO NORDESTE;MA;ALTO PARNAIBA;2100501;QUEROSENE DE AVIAÇÃO;94850
2020;REGIÃO NORDESTE;MA;ACAILANDIA;2100055;QUEROSENE DE AVIAÇÃO;197403
2020;REGIÃO NORDESTE;MA;BALSAS;2101400;QUEROSENE DE AVIAÇÃO;461537
2020;REGIÃO NORDESTE;MA;BURITICUPU;2102325;QUEROSENE DE AVIAÇÃO;8000
2020;REGIÃO NORDESTE;MA;BARREIRINHAS;2101707;QUEROSENE DE AVIAÇÃO;94000
2020;REGIÃO CENTRO-OESTE;GO;VALPARAISO DE GOIAS;5221858;QUEROSENE DE AVIAÇÃO;1510
2020;REGIÃO CENTRO-OESTE;GO;SAO MIGUEL DO ARAGUAIA;5220207;QUEROSENE DE AVIAÇÃO;49000
2020;REGIÃO CENTRO-OESTE;GO;SAO JOAO D'ALIANCA;5220009;QUEROSENE DE AVIAÇÃO;120000
2020;REGIÃO CENTRO-OESTE;GO;SENADOR CANEDO;5220454;QUEROSENE DE AVIAÇÃO;12271
2020;REGIÃO CENTRO-OESTE;GO;TRINDADE;5221403;QUEROSENE DE AVIAÇÃO;8030
2020;REGIÃO CENTRO-OESTE;GO;SERRANOPOLIS;5220504;QUEROSENE DE AVIAÇÃO;14183
2020;REGIÃO CENTRO-OESTE;GO;LUZIANIA;5212501;QUEROSENE DE AVIAÇÃO;19035
2020;REGIÃO CENTRO-OESTE;GO;CHAPADAO DO CEU;5205471;QUEROSENE DE AVIAÇÃO;275000
2020;REGIÃO CENTRO-OESTE;GO;CERES;5205406;QUEROSENE DE AVIAÇÃO;1736
2020;REGIÃO CENTRO-OESTE;GO;CORUMBAIBA;5205901;QUEROSENE DE AVIAÇÃO;44662
2020;REGIÃO CENTRO-OESTE;GO;GOIANAPOLIS;5208400;QUEROSENE DE AVIAÇÃO;8890
2020;REGIÃO CENTRO-OESTE;GO;FORMOSA;5208004;QUEROSENE DE AVIAÇÃO;199000
2020;REGIÃO CENTRO-OESTE;GO;CATALAO;5205109;QUEROSENE DE AVIAÇÃO;63830
2020;REGIÃO CENTRO-OESTE;GO;CACHOEIRA DOURADA;5204250;QUEROSENE DE AVIAÇÃO;72000
2020;REGIÃO CENTRO-OESTE;GO;CABECEIRAS;5204003;QUEROSENE DE AVIAÇÃO;101000
2020;REGIÃO CENTRO-OESTE;GO;CAIAPONIA;5204409;QUEROSENE DE AVIAÇÃO;22000
2020;REGIÃO CENTRO-OESTE;GO;CARMO DO RIO VERDE;5205000;QUEROSENE DE AVIAÇÃO;14324
2020;REGIÃO CENTRO-OESTE;GO;CALDAS NOVAS;5204508;QUEROSENE DE AVIAÇÃO;364768
2020;REGIÃO CENTRO-OESTE;GO;ITUMBIARA;5211503;QUEROSENE DE AVIAÇÃO;25018
2020;REGIÃO CENTRO-OESTE;GO;ITABERAI;5210406;QUEROSENE DE AVIAÇÃO;44932
2020;REGIÃO CENTRO-OESTE;GO;JATAI;5211909;QUEROSENE DE AVIAÇÃO;184638
2020;REGIÃO CENTRO-OESTE;GO;LEOPOLDO DE BULHOES;5212303;QUEROSENE DE AVIAÇÃO;10421
2020;REGIÃO CENTRO-OESTE;GO;JUSSARA;5212204;QUEROSENE DE AVIAÇÃO;10000
2020;REGIÃO CENTRO-OESTE;GO;INDIARA;5209952;QUEROSENE DE AVIAÇÃO;200
2020;REGIÃO CENTRO-OESTE;GO;GOIANIA;5208707;QUEROSENE DE AVIAÇÃO;29298043
2020;REGIÃO CENTRO-OESTE;GO;GOIANESIA;5208608;QUEROSENE DE AVIAÇÃO;14231
2020;REGIÃO CENTRO-OESTE;GO;GOIANIRA;5208806;QUEROSENE DE AVIAÇÃO;5608
2020;REGIÃO CENTRO-OESTE;GO;IACIARA;5209903;QUEROSENE DE AVIAÇÃO;50000
2020;REGIÃO CENTRO-OESTE;GO;GOUVELANDIA;5209150;QUEROSENE DE AVIAÇÃO;20000
2020;REGIÃO SUDESTE;MG;CONFINS;3117876;QUEROSENE DE AVIAÇÃO;13079212
2020;REGIÃO SUDESTE;MG;CLAUDIO;3116605;QUEROSENE DE AVIAÇÃO;44330
2020;REGIÃO SUDESTE;MG;CONSELHEIRO LAFAIETE;3118304;QUEROSENE DE AVIAÇÃO;2156
2020;REGIÃO SUDESTE;MG;COROMANDEL;3119302;QUEROSENE DE AVIAÇÃO;270871
2020;REGIÃO SUDESTE;MG;CONTAGEM;3118601;QUEROSENE DE AVIAÇÃO;83260
2020;REGIÃO SUDESTE;MG;CHAPADA GAUCHA;3116159;QUEROSENE DE AVIAÇÃO;10000
2020;REGIÃO SUDESTE;MG;CACHOEIRA DE MINAS;3109709;QUEROSENE DE AVIAÇÃO;6000
2020;REGIÃO SUDESTE;MG;CABECEIRA GRANDE;3109451;QUEROSENE DE AVIAÇÃO;10000
2020;REGIÃO SUDESTE;MG;CAPITOLIO;3112802;QUEROSENE DE AVIAÇÃO;354
2020;REGIÃO SUDESTE;MG;CATAGUASES;3115300;QUEROSENE DE AVIAÇÃO;1068
2020;REGIÃO SUDESTE;MG;CARATINGA;3113404;QUEROSENE DE AVIAÇÃO;16420
2020;REGIÃO SUDESTE;MG;GUARDA-MOR;3128600;QUEROSENE DE AVIAÇÃO;2574
2020;REGIÃO SUDESTE;MG;GOVERNADOR VALADARES;3127701;QUEROSENE DE AVIAÇÃO;440693
2020;REGIÃO SUDESTE;MG;IGARATINGA;3130200;QUEROSENE DE AVIAÇÃO;142498
2020;REGIÃO SUDESTE;MG;ITAJUBA;3132404;QUEROSENE DE AVIAÇÃO;6538
2020;REGIÃO SUDESTE;MG;IPATINGA;3131307;QUEROSENE DE AVIAÇÃO;89814
2020;REGIÃO SUDESTE;MG;GOIANA;3127388;QUEROSENE DE AVIAÇÃO;497042
2020;REGIÃO SUDESTE;MG;DELTA;3121258;QUEROSENE DE AVIAÇÃO;41132
2020;REGIÃO SUDESTE;MG;CURVELO;3120904;QUEROSENE DE AVIAÇÃO;31649
2020;REGIÃO SUDESTE;MG;DIAMANTINA;3121605;QUEROSENE DE AVIAÇÃO;5000
2020;REGIÃO SUDESTE;MG;FRUTAL;3127107;QUEROSENE DE AVIAÇÃO;60000
2020;REGIÃO SUDESTE;MG;DIVINOPOLIS;3122306;QUEROSENE DE AVIAÇÃO;115690
