airport_id,name,federal_state,fuel_consumption_l,fraction,country,y,x
SBVC,VITÓRIA DA CONQUISTA,BA,3220141.0,0.0007522637913844981,BR,-14.90817835,-40.91588320783863
SBVG,VARGINHA,MG,84284.0,1.9689759359310987e-05,BR,-21.59120195,-45.47401856941612
SBVH,VILHENA,RO,415454.0,9.705506721160821e-05,BR,-12.6940825,-60.09875397255124
SBVT,VITÓRIA,ES,52392857.0,0.01223960356030554,BR,-20.256092950000003,-40.28135718192593
SBZM,GOIANÁ,MG,1645970.0,0.0003845184520507463,BR,-21.514398800000002,-43.17076643690476
SDSC,SÃO CARLOS,SP,401413.0,9.377492019480685e-05,BR,-21.8730674,-47.90275820931602
SIMK,FRANCA,SP,27482.0,6.420126794084103e-06,BR,-20.59294565,-47.384190424304535
SJRG,RIO GRANDE,RS,8607.0,2.0106990508944717e-06,BR,-32.0824308,-52.16620090786992
SNBA,BARRETOS,SP,29002.0,6.7752171341979165e-06,BR,-20.58423865,-48.59509323988925
SNBR,BARREIRAS,BA,1328685.0,0.0003103968477329756,BR,-12.0794806,-45.009705353357425
SNCT,UBAPORANGA,MG,19237.0,4.493995311032526e-06,BR,-19.7240798,-42.11226009626729
SNDT,DIAMANTINA,MG,11954.0,2.7925986353424554e-06,BR,-18.23369525,-43.65036719883837
SNJN,JANUÁRIA,MG,245.0,5.723495613676607e-08,BR,-15.473317399999999,-44.38438081278936
SNMZ,PORTO DE MOZ,PA,19485.0,4.551931103366885e-06,BR,-1.74273455,-52.237087731100814
SNPD,PATOS DE MINAS,MG,13730.0,3.2074936643175434e-06,BR,-18.67291465,-46.4919252194623
SNTF,TEIXEIRA DE FREITAS,BA,350615.0,8.190789447302953e-05,BR,-17.52360045,-39.67223125277019
SNTO,TEÓFILO OTONI,MG,54050.0,1.2626732159968187e-05,BR,-17.8926588,-41.51225168213598
SNUI,ARAÇUAÍ,MG,9534.0,2.227257435950725e-06,BR,-16.8528571,-42.04755651808042
