complete_name,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,projectID,GCPT,GGPT,GEO,GPD,GCPT_len,GCPT_technology,GCPT_coal_type,GCPT_emission_factor,Captive,GPD_len,GPD_source,GPD_url,GEO_len,GEO_technology,GEO_fueltype,TODO
United Pulp Paper 30 2043,United Pulp Paper,Hard Coal CFB,CFB,PP,PH,30.0,,"{'GCPT': {'G114309'}, 'GPD': {'WRI1030480'}}",['G114309'],,[],['WRI1030480'],1,CFB,unknown,96100.0,pulp & paper,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,
Puting Bato 270 2060,Puting Bato,Hard Coal subcritical,subcritical,PP,PH,270.0,,"{'GCPT': {'G108252', 'G108251'}, 'GPD': {'WRI1023889'}}","['G108252', 'G108251']",,[],['WRI1023889'],2,subcritical,unknown,96100.0,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,
Panay 314 2055,Panay,Hard Coal subcritical,subcritical,PP,PH,314.0,,"{'GCPT': {'G107751', 'G107749', 'G107752'}, 'GPD': {'WRI1001923'}}","['G107752', 'G107749', 'G107751']",,[],['WRI1001923'],3,subcritical,unknown,96100.0,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,
Misamis Oriental 405 2061,Misamis Oriental,Hard Coal subcritical,subcritical,PP,PH,405.0,,"{'GCPT': {'G106948', 'G106949', 'G106947'}, 'GPD': {'WRI1029968'}}","['G106947', 'G106948', 'G106949']",,[],['WRI1029968'],3,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Mariveles 690 2058,Mariveles,Hard Coal subcritical,subcritical,PP,PH,690.0,,"{'GCPT': {'G106690', 'G106691'}, 'GPD': {'WRI1001875'}}","['G106690', 'G106691']",,[],['WRI1001875'],2,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Davao Therma South 300 2060,Davao Therma South,Hard Coal CFB,CFB,PP,PH,300.0,,"{'GCPT': {'G102269', 'G102268'}, 'GPD': {'WRI1075845'}}","['G102269', 'G102268']",,[],['WRI1075845'],2,CFB,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Davao San Miguel 300 2062,Davao San Miguel,Hard Coal CFB,CFB,PP,PH,300.0,,"{'GCPT': {'G102264', 'G102263'}, 'GPD': {'WRI1029969'}}","['G102264', 'G102263']",,[],['WRI1029969'],2,CFB,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Balingasag 165 2062,Balingasag,Hard Coal CFB,CFB,PP,PH,165.0,,"{'GCPT': {'G100478', 'G100480', 'G100479'}, 'GPD': {'WRI1030489'}}","['G100480', 'G100479', 'G100478']",,[],['WRI1030489'],3,CFB,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Tha Tum 328 2044,Tha Tum,Hard Coal subcritical,subcritical,PP,TH,328.0,,"{'GCPT': {'G110038', 'G110037'}, 'GPD': {'WRI1075818'}}","['G110038', 'G110037']",,[],['WRI1075818'],2,subcritical,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Mao Khe 440 2058,Mao Khe,Hard Coal CFB,CFB,PP,VN,440.0,,"{'GCPT': {'G106641', 'G106640'}, 'GPD': {'WRI1030769'}}","['G106641', 'G106640']",,[],['WRI1030769'],2,CFB,anthracite,98300.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
