,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
0,Akmola CHP 1 ,Hard Coal,Steam Turbine,CHP,KZ,22.0,,,0.0,0.0,0.0,1961,,,2111,51.202205,71.431861,,,
1,Akmola CHP 2 ,Hard Coal,Steam Turbine,CHP,KZ,360.0,,,0.0,0.0,0.0,1979,,,2129,51.190675,71.506344,,,
2,Stepnogorsk CHP,Hard Coal,Steam Turbine,CHP,KZ,180.0,,,0.0,0.0,0.0,1966,,,2116,52.483558,72.034092,,,
3,Aktobe CHP ,CCGT,CCGT,CHP,KZ,88.0,,,0.0,0.0,0.0,1962,,,2112,50.33618,57.14072,,,
4,ES AFP TNK Kazchrome,OCGT,OCGT,PP,KZ,135.0,,,0.0,0.0,0.0,1996,,,2146,50.34808,57.13376,,,
5,ZHGTS 56 JSC CNPC-Aktobe,OCGT,OCGT,PP,KZ,118.0,,,0.0,0.0,0.0,1999,,,2149,48.385282,57.434115,,,
6,ZHGTS 45 JSC CNPC-Aktobe,OCGT,OCGT,PP,KZ,34.0,,,0.0,0.0,0.0,2009,,,2159,48.385282,57.434115,,,
15,Almatinskaya HPS 2,Hydro,Reservoir,PP,KZ,14.4,,,0.0,0.0,0.0,1943,,,2093,43.2408,76.8507,,,
16,Almaty CHP 3,Hard Coal,Steam Turbine,CHP,KZ,173.0,,,0.0,0.0,0.0,1962,,,2112,43.423167,77.00695,,,
17,Almaty CHP 1 ,Hard Coal,Steam Turbine,CHP,KZ,145.0,,,0.0,0.0,0.0,1980,,,2130,43.280544,76.930175,,,
18,Verkhne-Almatinskaya HPS,Hydro,Reservoir,PP,KZ,15.6,,,0.0,0.0,0.0,1943,,,2093,43.2408,76.8507,,,
19,Almaty CHP 2,Hard Coal,Steam Turbine,CHP,KZ,510.0,,,0.0,0.0,0.0,1960,,,2110,43.294329,76.798834,,,
21,Issykskaya HPP-2,Hydro,Reservoir,PP,KZ,5.1,,,0.0,0.0,0.0,2008,,,2158,43.2408,76.8507,,,
23,Kapchagayskaya HPP,Hydro,Reservoir,PP,KZ,364.0,,,0.0,0.0,0.0,1970,,,2120,43.92276,77.0981,,,
24,Karatalskaya HPS-1,Hydro,Reservoir,PP,KZ,10.1,,,0.0,0.0,0.0,1953,,,2103,45.010479,78.383253,,,
28,Moynakskaya HPP,Hydro,Reservoir,PP,KZ,300.0,,,0.0,0.0,0.0,2012,,,2162,43.027,78.8451,,,
29,Taldykorganskaya HPS ,Hydro,Reservoir,PP,KZ,5.2,,,0.0,0.0,0.0,2009,,,2159,45.010479,78.383253,,,
30,Tekeli CHP 2,Hard Coal,Steam Turbine,CHP,KZ,24.0,,,0.0,0.0,0.0,1959,,,2109,44.860649,78.743767,,,
31,ANPS CHP,CCGT,CCGT,CHP,KZ,30.0,,,0.0,0.0,0.0,1944,,,2094,47.073199,51.924988,,,
32,Atyrau CHP ,CCGT,CCGT,CHP,KZ,414.0,,,0.0,0.0,0.0,1962,,,2112,47.08153,51.941813,,,
33,ES Kashagan AGIP KCO,OCGT,OCGT,PP,KZ,314.0,,,0.0,0.0,0.0,2010,,,2160,47.247706,52.465977,,,
34,TGTES-1 LLP TCO (GTPS-144),OCGT,OCGT,PP,KZ,136.0,,,0.0,0.0,0.0,1999,,,2149,46.161404,53.412437,,,
35,TGTES-2 Tengizchevroil LLP GTPS-480,OCGT,OCGT,PP,KZ,111.0,,,0.0,0.0,0.0,1999,,,2149,46.152724,53.408833,,,
36,TGTES-3 Company TCO GTPS-242_1,OCGT,OCGT,PP,KZ,242.0,,,0.0,0.0,0.0,2007,,,2157,46.131672,53.370037,,,
37,Kazakhmys Corporation Balkhash CHP,Hard Coal,Steam Turbine,CHP,KZ,115.0,,,0.0,0.0,0.0,1937,,,2087,46.82778,74.94972,,,
38,Karaganda energy center CHP 1,Hard Coal,Steam Turbine,CHP,KZ,32.0,,,0.0,0.0,0.0,1960,,,2110,49.841806,73.080139,,,
39,Karaganda energy center CHP 3,Hard Coal,Steam Turbine,CHP,KZ,670.0,,,0.0,0.0,0.0,1977,,,2127,49.808621,73.087964,,,
40,Bassel Group LLS Karaganda TTP 1- 8,Hard Coal,Steam Turbine,CHP,KZ,84.0,,,0.0,0.0,0.0,1973,,,2123,50.08944,72.91722,,,
41,GTPS Kumkol,OCGT,OCGT,PP,KZ,102.0,,,0.0,0.0,0.0,2004,,,2154,46.42556,65.69972,,,
42,JSC Shakhtinskaya CHP,Hard Coal,Steam Turbine,CHP,KZ,18.0,,,0.0,0.0,0.0,1964,,,2114,49.70528,72.55222,,,
43,Qarmet CHP-SBS,Hard Coal,Steam Turbine,CHP,KZ,192.0,,,0.0,0.0,0.0,1959,,,2109,50.0475,73.02306,,,
44,Karagandy CHP 2 ,Hard Coal,Steam Turbine,CHP,KZ,435.0,,,0.0,0.0,0.0,1973,,,2123,50.048621,73.051203,,,
45,Kazakhmys Corporation TTP 1,Hard Coal,Steam Turbine,PP,KZ,743.0,,,0.0,0.0,0.0,1962,,,2112,49.85482,73.119131,,,
46,Zhezkazgan CHP,Hard Coal,Steam Turbine,CHP,KZ,252.0,,,0.0,0.0,0.0,1959,,,2109,47.78556,67.74389,,,
47,Arkalyk CHP,CCGT,CCGT,CHP,KZ,4.0,,,0.0,0.0,0.0,1963,,,2113,50.237879,66.908432,,,
48,Kostanai CHP 1 - 2,CCGT,CCGT,CHP,KZ,12.0,,,0.0,0.0,0.0,1961,,,2111,53.21913,63.621569,,,
